파일명,찾은물건,개수
-2227-_png_jpg.rf.2b032e10318e6f8c75ef07646a2bb465.jpg,person(0.46),1
-2233-_png_jpg.rf.8ff49b7f805c3dbcbe02022382b42a2c.jpg,"person(0.84), person(0.43)",2
-2340-_png_jpg.rf.602ad470f33e47136d1b1f17c7bd96b3.jpg,"person(0.91), person(0.90), person(0.86), person(0.84), person(0.82), person(0.64), person(0.44), person(0.38)",8
-2345-_png_jpg.rf.e8e8ca4e785d135f592a212282aef716.jpg,person(0.48),1
-2465-_png_jpg.rf.a05027ac53993dea8263e0de69937c3c.jpg,"person(0.86), person(0.79)",2
-2469-_png_jpg.rf.970f5b7a8ee2d350630d90425e096325.jpg,"person(0.88), person(0.79), person(0.73), person(0.30), person(0.29)",5
-2504-_png_jpg.rf.fcd1a2f3d96d003c39bc5fc98b529aad.jpg,"person(0.88), kite(0.55)",2
-2552-_png_jpg.rf.185e3b130f06b81469990c7664eb6943.jpg,"person(0.80), person(0.69), orange(0.31), apple(0.26)",4
-2555-_png_jpg.rf.087c7d8d45ab273c86eb189fd3039598.jpg,"person(0.79), bird(0.61)",2
-2567-_png_jpg.rf.e03edce77d16977db61e8df67f89b96e.jpg,"person(0.63), person(0.61), person(0.53), airplane(0.31)",4
-2569-_png_jpg.rf.837a4086e0834843ee8651162c6219c5.jpg,"person(0.68), person(0.25)",2
-2573-_png_jpg.rf.115e78452bedcc614f6787c19c4548ff.jpg,"person(0.86), person(0.84)",2
-2575-_png_jpg.rf.06bc762463ee83d5c568d77b03920018.jpg,"person(0.89), person(0.85)",2
-2578-_png_jpg.rf.cdb9518ba4e3d42474b0b34d400ee8e4.jpg,"person(0.90), person(0.86), person(0.84), person(0.83), person(0.77), person(0.66), tv(0.37), banana(0.34), dining table(0.31)",9
-2586-_png_jpg.rf.56ea0920a0ee0107b38aa9342b89a602.jpg,person(0.76),1
-2587-_png_jpg.rf.d58dbdd5039e125f677fd1e75f081438.jpg,"person(0.92), person(0.73), person(0.73), person(0.72), person(0.63), person(0.39), person(0.31), fire hydrant(0.29)",8
